Query	Cited	DOC SIM

Q 1 	 C 1   1 	 distance = 2.098 

Q 1 	 C 1   2 	 distance = 2.117 

Q 1 	 C 1   3 	 distance = 1.973 

Q 1 	 C 1   4 	 distance = 2.235 

Q 1 	 C 1   5 	 distance = 2.293 

Q 1 	 C 1   6 	 distance = 2.163 

Q 1 	 C 1   7 	 distance = 1.941 

Q 1 	 C 1   8 	 distance = 2.376 

Q 1 	 C 1   9 	 distance = 1.653 

Q 1 	 C 1   10 	 distance = 2.268 

Q 2 	 C 2   1 	 distance = 2.353 

Q 2 	 C 2   2 	 distance = 2.192 

Q 2 	 C 2   3 	 distance = 1.913 

Q 2 	 C 2   4 	 distance = 2.149 

Q 2 	 C 2   5 	 distance = 2.100 

Q 2 	 C 2   6 	 distance = 2.069 

Q 2 	 C 2   7 	 distance = 2.221 

Q 2 	 C 2   8 	 distance = 2.042 

Q 2 	 C 2   9 	 distance = 2.276 

Q 2 	 C 2   10 	 distance = 2.028 

Q 3 	 C 3   1 	 distance = 2.111 

Q 3 	 C 3   2 	 distance = 1.982 

Q 3 	 C 3   3 	 distance = 1.926 

Q 3 	 C 3   4 	 distance = 2.076 

Q 3 	 C 3   5 	 distance = 2.349 

Q 3 	 C 3   6 	 distance = 2.299 

Q 3 	 C 3   7 	 distance = 2.107 

Q 3 	 C 3   8 	 distance = 2.006 

Q 3 	 C 3   9 	 distance = 2.149 

Q 3 	 C 3   10 	 distance = 2.075 

Q 4 	 C 4   1 	 distance = 2.167 

Q 4 	 C 4   2 	 distance = 2.014 

Q 4 	 C 4   3 	 distance = 1.906 

Q 4 	 C 4   4 	 distance = 3.055 

Q 4 	 C 4   5 	 distance = 2.078 

Q 4 	 C 4   6 	 distance = 2.126 

Q 4 	 C 4   7 	 distance = 2.233 

Q 4 	 C 4   8 	 distance = 1.996 

Q 4 	 C 4   9 	 distance = 2.123 

Q 4 	 C 4   10 	 distance = 1.972 

Q 5 	 C 5   1 	 distance = 1.990 

Q 5 	 C 5   2 	 distance = 2.354 

Q 5 	 C 5   3 	 distance = 2.262 

Q 5 	 C 5   4 	 distance = 2.137 

Q 5 	 C 5   5 	 distance = 2.449 

Q 5 	 C 5   6 	 distance = 2.059 

Q 5 	 C 5   7 	 distance = 2.165 

Q 5 	 C 5   8 	 distance = 2.236 

Q 5 	 C 5   9 	 distance = 1.975 

Q 5 	 C 5   10 	 distance = 2.198 

Q 6 	 C 6   1 	 distance = 1.972 

Q 6 	 C 6   2 	 distance = 2.222 

Q 6 	 C 6   3 	 distance = 2.326 

Q 6 	 C 6   4 	 distance = 1.980 

Q 6 	 C 6   5 	 distance = 2.287 

Q 6 	 C 6   6 	 distance = 2.076 

Q 6 	 C 6   7 	 distance = 1.932 

Q 6 	 C 6   8 	 distance = 2.064 

Q 6 	 C 6   9 	 distance = 2.123 

Q 6 	 C 6   10 	 distance = 2.234 

Q 7 	 C 7   1 	 distance = 2.236 

Q 7 	 C 7   2 	 distance = 1.956 

Q 7 	 C 7   3 	 distance = 2.128 

Q 7 	 C 7   4 	 distance = 1.942 

Q 7 	 C 7   5 	 distance = 2.043 

Q 7 	 C 7   6 	 distance = 2.151 

Q 7 	 C 7   7 	 distance = 2.096 

Q 7 	 C 7   8 	 distance = 2.238 

Q 7 	 C 7   9 	 distance = 2.195 

Q 7 	 C 7   10 	 distance = 2.058 

Q 8 	 C 8   1 	 distance = 2.038 

Q 8 	 C 8   2 	 distance = 2.158 

Q 8 	 C 8   3 	 distance = 2.345 

Q 8 	 C 8   4 	 distance = 2.065 

Q 8 	 C 8   5 	 distance = 2.253 

Q 8 	 C 8   6 	 distance = 2.179 

Q 8 	 C 8   7 	 distance = 2.098 

Q 8 	 C 8   8 	 distance = 2.222 

Q 8 	 C 8   9 	 distance = 2.290 

Q 8 	 C 8   10 	 distance = 2.014 

Q 9 	 C 9   1 	 distance = 2.117 

Q 9 	 C 9   2 	 distance = 2.127 

Q 9 	 C 9   3 	 distance = 2.070 

Q 9 	 C 9   4 	 distance = 2.069 

Q 9 	 C 9   5 	 distance = 2.036 

Q 9 	 C 9   6 	 distance = 2.230 

Q 9 	 C 9   7 	 distance = 2.188 

Q 9 	 C 9   8 	 distance = 2.163 

Q 9 	 C 9   9 	 distance = 2.201 

Q 9 	 C 9   10 	 distance = 2.233 

Q 10 	 C 10   1 	 distance = 2.058 

Q 10 	 C 10   2 	 distance = 2.437 

Q 10 	 C 10   3 	 distance = 2.511 

Q 10 	 C 10   4 	 distance = 2.171 

Q 10 	 C 10   5 	 distance = 2.284 

Q 10 	 C 10   6 	 distance = 2.247 

Q 10 	 C 10   7 	 distance = 2.218 

Q 10 	 C 10   8 	 distance = 2.206 

Q 10 	 C 10   9 	 distance = 2.261 

Q 10 	 C 10   10 	 distance = 2.263 

